CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,TotalCharges
CUST0018,Female,0,Yes,Yes,60,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Credit card,54.48,No,3268.8
CUST0019,Female,1,No,Yes,30,Yes,No,No,No,Yes,Yes,No internet service,Two year,No,Credit card,109.36,No,3280.8
CUST0020,Male,0,Yes,No,21,No,No phone service,DSL,Yes,No internet service,No,Yes,Two year,No,Mailed check,49.15,No,1032.15
CUST0021,Female,0,No,No,42,Yes,No,Fiber optic,No internet service,No,No,No,One year,Yes,Electronic check,76.27,No,3203.34
CUST0022,Male,0,No,Yes,66,No,Yes,DSL,No internet service,No internet service,Yes,Yes,Two year,No,Electronic check,29.97,No,1978.02
CUST0023,Female,1,No,No,53,No,Yes,DSL,No,Yes,Yes,Yes,One year,Yes,Electronic check,112.2,No,5946.6
CUST0024,Female,0,No,No,9,Yes,No,Fiber optic,Yes,Yes,No internet service,No,Month-to-month,Yes,Mailed check,34.08,No,306.72
CUST0025,Female,0,Yes,No,41,Yes,Yes,DSL,Yes,No internet service,No,Yes,One year,No,Bank transfer,42.49,No,1742.09
CUST0026,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,Two year,No,Mailed check,75.81,No,4776.03
CUST0027,Female,0,Yes,Yes,20,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,Month-to-month,No,Mailed check,96.41,No,1928.2
CUST0028,Female,0,Yes,Yes,65,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,One year,No,Credit card,81.94,No,5326.1
CUST0029,Female,0,Yes,No,40,Yes,No,DSL,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,43.21,Yes,1728.4
CUST0030,Female,1,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,One year,Yes,Electronic check,20.09,No,462.07
CUST0031,Male,0,Yes,Yes,34,No,Yes,DSL,No internet service,No internet service,Yes,Yes,Two year,Yes,Bank transfer,95.72,No,3254.48
CUST0032,Male,1,No,Yes,55,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Bank transfer,118.52,Yes,6518.6
CUST0033,Female,1,Yes,Yes,29,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card,100.99,Yes,2928.71
CUST0034,Female,0,Yes,No,56,Yes,No,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Electronic check,66.02,Yes,3697.12
CUST0035,Female,0,No,Yes,46,Yes,No phone service,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Bank transfer,110.38,No,5077.48
CUST0036,Male,1,Yes,Yes,34,Yes,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer,60.98,No,2073.32
CUST0037,Female,0,Yes,No,18,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,Two year,No,Electronic check,72.49,No,1304.82
CUST0038,Male,0,No,No,7,Yes,Yes,DSL,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,67.71,No,473.97
CUST0039,Male,0,Yes,No,25,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer,64.76,No,1619.0
CUST0040,Male,0,Yes,Yes,70,No,No,Fiber optic,Yes,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,97.52,No,6826.4
CUST0041,Male,1,Yes,No,29,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,One year,Yes,Bank transfer,72.68,Yes,2107.72
CUST0042,Male,0,No,No,6,Yes,No phone service,Fiber optic,Yes,No,No,No,Month-to-month,No,Credit card,51.67,No,310.02
CUST0043,Female,0,Yes,Yes,66,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer,45.82,No,3024.12
CUST0044,Female,0,Yes,No,64,Yes,No,Fiber optic,No,No,Yes,No internet service,One year,Yes,Electronic check,23.77,Yes,1521.28
CUST0045,Female,0,No,Yes,35,Yes,No phone service,Fiber optic,No,Yes,Yes,No,One year,No,Bank transfer,78.32,No,2741.2
CUST0046,Female,0,Yes,Yes,24,No,No phone service,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,43.0,No,1032.0
CUST0047,Female,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,Month-to-month,No,Credit card,34.81,Yes,1253.16
CUST0048,Male,0,No,No,0,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,One year,Yes,Bank transfer,85.38,Yes,0.0
CUST0049,Female,0,Yes,No,14,Yes,No phone service,Fiber optic,No,No,Yes,No,Two year,No,Bank transfer,88.12,Yes,1233.68
CUST0050,Female,0,No,No,36,Yes,No phone service,DSL,Yes,No,No internet service,No,One year,No,Credit card,95.22,No,3427.92
CUST0051,Male,0,No,No,12,Yes,Yes,No,No internet service,No,No internet service,No internet service,Two year,No,Credit card,70.36,No,844.32
CUST0052,Female,1,Yes,No,7,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,109.41,No,765.87
CUST0053,Male,0,No,Yes,4,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,113.63,No,454.52
CUST0054,Female,0,No,Yes,59,Yes,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Credit card,100.74,No,5943.66
CUST0055,Male,1,Yes,No,0,Yes,No,Fiber optic,No,No,No,Yes,One year,Yes,Bank transfer,83.56,No,0.0
CUST0056,Female,0,Yes,Yes,35,Yes,No phone service,DSL,No,Yes,No,Yes,Month-to-month,No,Electronic check,50.37,Yes,1762.95
CUST0057,Female,0,Yes,No,34,Yes,No,Fiber optic,Yes,No,Yes,No,Two year,No,Bank transfer,118.29,No,4021.86
CUST0058,Male,0,No,Yes,65,Yes,No,DSL,Yes,No,No,No internet service,One year,Yes,Bank transfer,47.41,No,3081.65
CUST0059,Male,0,Yes,Yes,62,Yes,No phone service,DSL,No internet service,No,No,No,Two year,No,Mailed check,40.27,No,2496.74
CUST0060,Male,0,No,Yes,22,Yes,No,Fiber optic,No internet service,No internet service,No,No,One year,No,Mailed check,64.22,No,1412.84
CUST0061,Male,0,No,No,8,Yes,Yes,No,Yes,No internet service,Yes,No,One year,No,Mailed check,25.68,Yes,205.44
CUST0062,Male,0,No,Yes,33,Yes,Yes,DSL,No internet service,No,No,No internet service,One year,No,Credit card,117.85,No,3889.05
CUST0063,Male,0,No,No,45,Yes,Yes,No,No,Yes,No,Yes,One year,No,Credit card,78.84,No,3547.8
CUST0064,Male,0,No,Yes,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,Two year,No,Bank transfer,75.7,No,227.1
CUST0065,Male,0,No,Yes,29,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,Two year,No,Bank transfer,85.58,No,2481.82
CUST0066,Female,0,No,Yes,71,Yes,No,Fiber optic,No,No,No,No,Two year,No,Electronic check,69.7,No,4948.7
CUST0067,Female,0,Yes,Yes,2,No,No phone service,No,No,Yes,No internet service,No,Two year,Yes,Bank transfer,23.21,No,46.42
CUST0068,Male,0,Yes,Yes,13,Yes,No,Fiber optic,No,No,No,No,Two year,Yes,Bank transfer,81.23,No,1055.99
CUST0069,Female,1,No,No,59,No,No,Fiber optic,No internet service,Yes,Yes,Yes,One year,No,Mailed check,91.62,No,5405.58
CUST0070,Female,0,No,No,44,Yes,No,DSL,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,61.67,No,2713.48
CUST0071,Female,0,Yes,Yes,33,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,95.73,No,3159.09
CUST0072,Female,0,No,Yes,44,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,Two year,No,Mailed check,42.7,No,1878.8
CUST0073,Male,0,Yes,Yes,60,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,Two year,Yes,Mailed check,42.13,No,2527.8
CUST0074,Female,0,Yes,Yes,15,No,No phone service,DSL,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,36.14,No,542.1
CUST0075,Male,1,Yes,No,65,Yes,No phone service,No,No internet service,Yes,No,Yes,One year,Yes,Electronic check,57.2,Yes,3718.0
CUST0076,Female,1,No,Yes,39,Yes,No phone service,No,No internet service,No,No internet service,No,Two year,Yes,Electronic check,104.7,No,4083.3
CUST0077,Female,0,No,No,16,Yes,Yes,Fiber optic,No,No internet service,No,Yes,One year,No,Mailed check,102.79,No,1644.64
CUST0078,Female,1,Yes,Yes,33,No,No,DSL,No internet service,No internet service,No internet service,No,Month-to-month,No,Credit card,58.28,No,1923.24
CUST0079,Male,0,Yes,No,15,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,Month-to-month,No,Mailed check,78.91,No,1183.65
CUST0080,Female,0,Yes,Yes,59,Yes,Yes,No,No internet service,No internet service,Yes,No internet service,Two year,Yes,Mailed check,92.08,No,5432.72
CUST0081,Male,0,Yes,Yes,65,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,One year,No,Electronic check,44.12,No,2867.8
CUST0082,Female,1,Yes,No,65,Yes,No phone service,No,Yes,No internet service,No,Yes,Two year,No,Mailed check,36.81,No,2392.65
CUST0083,Male,0,No,Yes,12,Yes,No phone service,No,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,117.21,No,1406.52
CUST0084,Female,0,Yes,Yes,55,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,One year,Yes,Mailed check,81.76,No,4496.8
CUST0085,Male,0,No,Yes,30,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,Two year,Yes,Bank transfer,118.14,No,3544.2
CUST0086,Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,No,Yes,No,Two year,Yes,Credit card,53.78,No,1774.74
CUST0087,Female,0,No,Yes,38,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card,90.3,No,3431.4
CUST0088,Male,0,No,Yes,66,No,No,No,No internet service,No,No internet service,Yes,Month-to-month,No,Electronic check,42.26,Yes,2789.16
CUST0089,Female,0,No,No,7,Yes,No,DSL,Yes,No,Yes,No,Two year,No,Bank transfer,46.12,No,322.84
CUST0090,Female,0,No,No,54,Yes,No,DSL,Yes,No internet service,Yes,No,One year,Yes,Credit card,71.19,No,3844.26
CUST0091,Female,0,No,No,26,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,Two year,No,Electronic check,51.96,No,1350.96
CUST0092,Female,0,No,Yes,52,Yes,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,36.76,No,1911.52
CUST0093,Female,0,Yes,Yes,38,Yes,Yes,No,No,No,No internet service,Yes,Two year,No,Mailed check,46.29,No,1759.02
CUST0094,Female,0,No,Yes,64,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer,23.57,Yes,1508.48
CUST0095,Female,1,Yes,No,16,Yes,No phone service,DSL,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card,90.44,Yes,1447.04
CUST0096,Female,0,No,Yes,29,No,No phone service,Fiber optic,Yes,No,Yes,No internet service,One year,No,Mailed check,69.21,No,2007.09
CUST0097,Female,0,No,Yes,52,Yes,No,Fiber optic,Yes,Yes,No,No internet service,One year,No,Electronic check,29.42,No,1529.84
CUST0098,Female,0,Yes,No,12,No,No phone service,Fiber optic,No,No,No internet service,No,Two year,No,Mailed check,37.17,No,446.04
CUST0099,Female,0,No,No,20,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,30.25,No,605.0
CUST0100,Male,0,Yes,No,18,Yes,No phone service,DSL,Yes,No,No internet service,No,Month-to-month,No,Credit card,81.26,No,1462.68
CUST0101,Male,0,Yes,No,52,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,One year,Yes,Credit card,29.42,No,1529.84
CUST0102,Female,0,Yes,No,18,Yes,No phone service,DSL,No,No,No,No internet service,One year,Yes,Electronic check,95.43,No,1717.74
CUST0103,Female,0,Yes,Yes,56,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,Two year,Yes,Bank transfer,22.05,No,1234.8
CUST0104,Female,0,No,No,24,Yes,Yes,No,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer,44.94,Yes,1078.56
CUST0105,Female,0,No,Yes,30,Yes,No phone service,DSL,Yes,No,Yes,No,One year,No,Mailed check,109.07,No,3272.1
CUST0106,Female,0,Yes,Yes,54,Yes,No phone service,No,Yes,Yes,No internet service,Yes,Two year,Yes,Electronic check,91.85,No,4959.9
CUST0107,Female,0,No,No,22,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,27.3,Yes,600.6
CUST0108,Female,0,No,No,31,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Bank transfer,102.11,No,3165.41
CUST0109,Female,0,Yes,No,61,Yes,Yes,Fiber optic,No,No internet service,Yes,No,One year,Yes,Mailed check,69.3,No,4227.3
CUST0110,Male,0,No,Yes,9,No,Yes,DSL,Yes,Yes,No internet service,Yes,Two year,Yes,Electronic check,104.68,No,942.12
CUST0111,Female,0,Yes,No,71,Yes,No,No,No internet service,No internet service,No,Yes,One year,No,Bank transfer,80.07,No,5684.97
CUST0112,Male,0,Yes,No,53,Yes,No phone service,DSL,No,Yes,No internet service,Yes,Two year,Yes,Credit card,88.18,No,4673.54
CUST0113,Female,0,No,No,51,Yes,No,DSL,No,No,Yes,Yes,Month-to-month,No,Credit card,119.35,No,6086.85
CUST0114,Female,0,No,No,19,Yes,No phone service,Fiber optic,Yes,No internet service,No,No internet service,Two year,No,Mailed check,43.23,No,821.37
CUST0115,Male,1,No,No,31,Yes,No phone service,No,No internet service,Yes,Yes,No,Two year,Yes,Mailed check,82.39,No,2554.09
CUST0116,Female,1,Yes,Yes,13,No,No,Fiber optic,Yes,No,No,Yes,Two year,No,Mailed check,66.03,No,858.39
CUST0117,Male,0,Yes,Yes,49,Yes,Yes,DSL,No,No,No internet service,No,Two year,No,Mailed check,23.95,No,1173.55
CUST0118,Female,0,No,Yes,27,Yes,No,Fiber optic,No,No,No,Yes,Two year,No,Bank transfer,21.45,Yes,579.15
CUST0119,Female,0,No,No,52,Yes,No phone service,No,Yes,No internet service,No internet service,No,One year,Yes,Electronic check,31.92,No,1659.84
CUST0120,Male,0,No,No,23,Yes,No,Fiber optic,Yes,No internet service,Yes,No,Two year,Yes,Mailed check,84.91,No,1952.93
CUST0121,Female,0,No,No,21,Yes,No,No,No internet service,No,No,Yes,Two year,Yes,Mailed check,76.72,No,1611.12
CUST0122,Male,0,Yes,Yes,29,Yes,No phone service,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer,75.34,No,2184.86
CUST0123,Female,0,No,No,62,Yes,Yes,Fiber optic,No,Yes,No,No,Two year,Yes,Mailed check,23.19,No,1437.78
CUST0124,Male,0,Yes,No,3,Yes,No,DSL,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,66.93,No,200.79
CUST0125,Male,0,Yes,No,58,Yes,No phone service,Fiber optic,No internet service,No,No,No,One year,Yes,Electronic check,112.46,Yes,6522.68
CUST0126,Female,0,No,Yes,7,Yes,No phone service,DSL,No,No internet service,No,No internet service,One year,No,Credit card,59.76,No,418.32
CUST0127,Female,0,No,No,11,No,No,DSL,No,No,No internet service,Yes,Two year,No,Mailed check,82.49,Yes,907.39
CUST0128,Male,0,No,Yes,30,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,One year,Yes,Bank transfer,97.98,No,2939.4
CUST0129,Female,0,Yes,No,33,Yes,No,DSL,No,No internet service,No internet service,No internet service,Two year,No,Electronic check,98.39,No,3246.87
CUST0130,Female,0,No,Yes,48,Yes,Yes,DSL,Yes,No internet service,No,Yes,One year,Yes,Bank transfer,71.93,No,3452.64
CUST0131,Female,0,No,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,Two year,Yes,Electronic check,105.8,No,5924.8
CUST0132,Male,1,Yes,Yes,25,Yes,Yes,Fiber optic,No,No,No,No internet service,Two year,Yes,Electronic check,59.14,No,1478.5
CUST0133,Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,No,Mailed check,108.87,Yes,1850.79
CUST0134,Male,0,Yes,No,37,Yes,No,DSL,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,44.02,No,1628.74
CUST0135,Male,0,No,Yes,49,Yes,No phone service,No,No,No,No internet service,No,Month-to-month,Yes,Mailed check,48.02,No,2352.98
CUST0136,Male,0,Yes,Yes,7,Yes,No phone service,DSL,Yes,Yes,No,No internet service,Month-to-month,Yes,Credit card,25.31,No,177.17
CUST0137,Male,0,No,No,40,Yes,No phone service,No,Yes,No,Yes,No internet service,Two year,Yes,Credit card,99.56,No,3982.4
CUST0138,Male,0,No,No,5,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,One year,No,Bank transfer,61.71,No,308.55
CUST0139,Male,0,Yes,Yes,68,Yes,No phone service,No,Yes,No internet service,No internet service,Yes,Two year,Yes,Mailed check,42.91,No,2917.88
CUST0140,Male,0,Yes,No,43,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,Month-to-month,No,Credit card,43.18,Yes,1856.74
CUST0141,Female,0,No,No,63,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,110.14,No,6938.82
CUST0142,Male,0,Yes,No,28,No,Yes,No,Yes,No,No internet service,No,One year,Yes,Credit card,103.39,No,2894.92
CUST0143,Female,0,Yes,No,27,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card,75.35,No,2034.45
CUST0144,Female,0,Yes,Yes,10,Yes,No,No,No,Yes,Yes,Yes,Two year,No,Electronic check,81.61,No,816.1
CUST0145,Female,0,Yes,No,64,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,Two year,No,Mailed check,67.43,No,4315.52
CUST0146,Male,1,No,No,18,No,No phone service,DSL,No,No internet service,Yes,Yes,Two year,No,Mailed check,59.17,No,1065.06
CUST0147,Male,0,No,Yes,8,Yes,Yes,DSL,Yes,No,No internet service,Yes,Two year,No,Credit card,111.55,No,892.4
CUST0148,Male,0,Yes,Yes,26,Yes,Yes,Fiber optic,No internet service,No,No,Yes,Two year,Yes,Mailed check,32.56,No,846.56
CUST0149,Male,0,Yes,No,33,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,One year,No,Credit card,61.84,Yes,2040.72
CUST0150,Female,0,Yes,No,43,Yes,No phone service,No,Yes,No,No internet service,No internet service,Two year,No,Mailed check,54.46,Yes,2341.78
CUST0151,Male,0,Yes,No,67,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,69.82,No,4677.94
CUST0152,Male,0,No,No,14,Yes,No phone service,No,Yes,No internet service,Yes,No,Month-to-month,No,Mailed check,65.76,Yes,920.64
CUST0153,Male,0,No,Yes,50,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,71.89,No,3594.5
CUST0154,Male,0,Yes,Yes,12,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,Month-to-month,Yes,Bank transfer,33.99,No,407.88
CUST0155,Male,0,Yes,Yes,48,Yes,No phone service,No,No,No,No internet service,No internet service,One year,Yes,Mailed check,71.31,No,3422.88
CUST0156,Female,0,Yes,No,69,Yes,No phone service,Fiber optic,No,Yes,No,No,Month-to-month,No,Mailed check,44.24,No,3052.56
CUST0157,Male,0,No,No,55,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,One year,No,Mailed check,38.43,No,2113.65
CUST0158,Female,0,Yes,No,50,Yes,No,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,26.48,No,1324.0
CUST0159,Male,0,No,No,36,No,No phone service,DSL,No,No,Yes,Yes,One year,Yes,Mailed check,96.27,No,3465.72
CUST0160,Female,0,Yes,Yes,16,Yes,No,DSL,Yes,No internet service,No,No,One year,No,Mailed check,62.74,No,1003.84
CUST0161,Male,0,No,Yes,57,Yes,No phone service,DSL,Yes,Yes,Yes,No,One year,Yes,Credit card,82.66,No,4711.62
CUST0162,Male,1,Yes,No,28,Yes,No,No,No,No internet service,Yes,No,Month-to-month,No,Bank transfer,92.76,Yes,2597.28
CUST0163,Female,0,No,Yes,32,Yes,No phone service,Fiber optic,Yes,No internet service,No,Yes,One year,No,Electronic check,87.93,No,2813.76
CUST0164,Female,0,Yes,No,59,No,Yes,DSL,No,No,No,No internet service,Two year,No,Credit card,67.05,No,3955.95
CUST0165,Female,0,Yes,No,54,Yes,Yes,DSL,No,No internet service,No internet service,No internet service,Two year,No,Electronic check,58.79,No,3174.66
CUST0166,Male,0,Yes,Yes,9,Yes,Yes,DSL,No,No,No,No,Month-to-month,No,Credit card,57.6,No,518.4
CUST0167,Female,0,No,No,46,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,Two year,No,Bank transfer,84.0,No,3864.0
CUST0168,Male,0,Yes,No,22,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,Two year,Yes,Credit card,69.48,No,1528.56
CUST0169,Male,0,No,Yes,20,Yes,Yes,No,Yes,Yes,No,No,Two year,Yes,Electronic check,104.91,Yes,2098.2
CUST0170,Female,0,No,No,12,Yes,No,Fiber optic,No internet service,No,No,No,Month-to-month,Yes,Mailed check,107.47,No,1289.64
CUST0171,Female,0,Yes,No,32,Yes,Yes,No,Yes,No internet service,No,Yes,Month-to-month,No,Mailed check,37.06,No,1185.92
CUST0172,Male,1,Yes,Yes,23,Yes,Yes,No,No internet service,No,No internet service,Yes,Two year,Yes,Bank transfer,33.62,No,773.26
CUST0173,Male,0,Yes,No,10,Yes,Yes,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Electronic check,83.04,No,830.4
CUST0174,Female,0,No,Yes,16,Yes,No phone service,No,No internet service,Yes,No,Yes,One year,No,Electronic check,50.12,Yes,801.92
CUST0175,Female,0,Yes,No,67,Yes,Yes,No,No internet service,No,No,No internet service,Two year,No,Electronic check,21.86,Yes,1464.62
CUST0176,Female,1,No,Yes,46,Yes,No,DSL,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer,108.86,No,5007.56
CUST0177,Male,0,No,Yes,24,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,42.69,Yes,1024.56
CUST0178,Male,0,Yes,Yes,20,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,Two year,Yes,Credit card,112.93,No,2258.6
CUST0179,Male,1,Yes,No,11,No,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,91.74,No,1009.14
CUST0180,Male,1,Yes,Yes,36,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,Two year,No,Credit card,96.27,No,3465.72
CUST0181,Male,0,Yes,Yes,41,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,40.15,No,1646.15
CUST0182,Male,0,Yes,Yes,16,Yes,No,DSL,No internet service,No internet service,Yes,Yes,One year,Yes,Bank transfer,43.42,No,694.72
CUST0183,Female,0,Yes,Yes,47,Yes,No,No,No,No internet service,Yes,No internet service,Two year,Yes,Mailed check,72.13,Yes,3390.11
CUST0184,Male,0,No,Yes,27,Yes,Yes,DSL,No,No,No,No,One year,No,Credit card,37.21,No,1004.67
CUST0185,Male,1,No,No,40,Yes,No,DSL,Yes,No,No internet service,No,Two year,Yes,Electronic check,50.54,No,2021.6
CUST0186,Male,0,No,No,46,Yes,No phone service,DSL,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,52.15,No,2398.9
CUST0187,Female,0,Yes,No,17,No,Yes,DSL,Yes,No internet service,Yes,Yes,One year,Yes,Credit card,35.96,No,611.32
CUST0188,Male,0,No,No,70,Yes,Yes,DSL,No,Yes,Yes,No internet service,Month-to-month,No,Electronic check,40.52,No,2836.4
CUST0189,Male,0,No,No,12,Yes,No,No,No,Yes,No internet service,No,Two year,Yes,Credit card,98.86,No,1186.32
CUST0190,Female,0,No,No,12,Yes,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer,36.72,Yes,440.64
CUST0191,Male,0,No,No,30,Yes,Yes,DSL,No internet service,No,Yes,No internet service,Two year,Yes,Bank transfer,22.85,Yes,685.5
CUST0192,Male,0,No,Yes,1,Yes,No phone service,No,No internet service,No internet service,No internet service,Yes,Two year,No,Bank transfer,82.94,No,82.94
CUST0193,Male,0,Yes,No,15,Yes,No,No,Yes,No,No internet service,Yes,Two year,Yes,Electronic check,117.6,Yes,1764.0
CUST0194,Male,0,Yes,Yes,8,No,No,Fiber optic,No,No internet service,No,No,One year,Yes,Mailed check,53.12,No,424.96
