Job_Title,Company,Location,Experience_Level,Salary,Date_Posted
Data Engineer,Amazon,"Seattle, WA",Senior Level,188778,2024-05-04
Data Analyst,Netflix,"New York, NY",Entry Level,122292,2024-05-10
AI Specialist,Google,Remote,Senior Level,83833,2024-06-25
ML Engineer,Amazon,"San Francisco, CA",Senior Level,195230,2024-05-17
Data Engineer,Google,"New York, NY",Entry Level,80309,2024-05-10
Data Analyst,Microsoft,"Austin, TX",Senior Level,66970,2024-05-17
Business Intelligence Analyst,Netflix,"Seattle, WA",Mid Level,132474,2024-06-29
AI Specialist,Amazon,"New York, NY",Senior Level,106540,2024-05-20
Data Engineer,Amazon,"San Francisco, CA",Mid Level,78017,2024-05-24
Data Engineer,Amazon,"Austin, TX",Mid Level,135880,2024-05-05
ML Engineer,Amazon,"San Francisco, CA",Senior Level,165570,2024-06-03
ML Engineer,Amazon,"San Francisco, CA",Entry Level,68702,2024-05-06
Business Intelligence Analyst,Google,"Austin, TX",Mid Level,191456,2024-06-22
Business Intelligence Analyst,Netflix,"San Francisco, CA",Entry Level,60404,2024-05-02
Data Analyst,Microsoft,"Austin, TX",Mid Level,72763,2024-05-13
Data Analyst,Microsoft,"New York, NY",Senior Level,158142,2024-07-01
Business Intelligence Analyst,Microsoft,"Austin, TX",Senior Level,140642,2024-06-12
